"Location_Id","Sensor_Eui","Validity_Start","Validity_End","Location","St_X","St_Y","Altitude_Masl","Roomname","Mazemap_Floor","Last_Changed"
"72","00:04:a3:0b:00:20:1a:45","-infinity","infinity","0101000020E61000005F59F3C47B6C1B40270083C6A31E4A40","6.855940892556048","52.23937302967561","None","RA3237","3","2023-06-13 14:23:11.813560+02:00"
"73","00:04:a3:0b:00:20:19:de","-infinity","infinity","0101000020E610000038E992602C6C1B40F4DC697EA71E4A40","6.855638035742508","52.239486505213705","None","RA1501","1","2023-06-13 14:22:36.057591+02:00"
"74","00:04:a3:0b:00:1f:a7:14","-infinity","infinity","0101000020E61000008E80599CCA6B1B4068EF93B7A81E4A40","6.855265086138514","52.239523837312674","None","RA3334","3","2023-06-13 14:23:14.195919+02:00"
"75","00:04:a3:0b:00:1f:df:bb","-infinity","infinity","0101000020E6100000A0B14D09D36B1B40F4E70D75A71E4A40","6.855297227255875","52.23948538950927","None","nighthawk0042","2","2024-03-11 16:31:41.122152+01:00"
"76","00:04:a3:0b:00:20:4a:4e","-infinity","infinity","0101000020E6100000601AF08B7C661B40006952ECB21E4A40","6.850084482698179","52.2398353006738","None","nighthawk0043","2","2024-02-13 14:11:23.515033+01:00"
"78","00:04:a3:0b:00:20:20:92","-infinity","infinity","0101000020E6100000A0CD61DDBC6B1B40082DB957A71E4A40","6.855212649435458","52.239481892984315","None","RA2334","2","2024-03-11 16:32:29.839824+01:00"
"79","00:04:a3:0b:00:1f:95:7b","-infinity","infinity","0101000020E610000038E992602C6C1B40F4DC697EA71E4A40","6.855638035742508","52.239486505213705","None","RA1501","1","2023-06-13 14:22:31.555532+02:00"
"80","00:04:a3:0b:00:1f:a7:bd","-infinity","infinity","0101000020E610000038E992602C6C1B40F4DC697EA71E4A40","6.855638035742508","52.239486505213705","None","RA1501","1","2023-06-13 14:22:33.282085+02:00"
"81","00:04:a3:0b:00:1f:bf:00","-infinity","infinity","0101000020E61000005F59F3C47B6C1B40270083C6A31E4A40","6.855940892556048","52.23937302967561","None","RA3237","3","2023-06-13 14:23:11.433964+02:00"
"82","00:04:a3:0b:00:20:4b:21","-infinity","infinity","0101000020E6100000E01B289CD66B1B40D40DEF0BAA1E4A40","6.8553108596306345","52.239564410901636","None","RA2334","2","2024-03-11 16:32:32.934630+01:00"
"83","a8:17:58:ff:fe:04:1e:32","-infinity","infinity","0101000020E61000000DC1AA218D6C1B4073C4C7B4A71E4A40","6.8560071239919695","52.23949298624293","None","RA5148","5","2023-06-13 14:27:03.925696+02:00"
"84","a8:17:58:ff:fe:04:1e:33","-infinity","infinity","0101000020E6100000C76025258D6C1B4073BD3AB5A71E4A40","6.856007175833105","52.239493039781244","None","RA4247","4","2023-06-13 14:26:54.152335+02:00"
